;Label;Country;Category;Rating;Raters;Price
162;Wray & Nephew White Overproof;Jamaica;Overproof;6,6;36;33,81
358;Zacapa 23 Black Label;Guatemala;Aged;9,1;14;NA
1;Zacapa 23 Solera;Guatemala;Aged;7,7;690;47,4
193;Zacapa 30 Aniversario;Guatemala;Aged;9;29;NA
105;Zacapa Centenario 15;Guatemala;Aged;7,3;64;64,79
229;Zacapa Centenario 23;Guatemala;Aged;8,9;23;NA
174;Zacapa Etiqueta Negra;Guatemala;Aged;8,1;34;94,46
342;Zacapa Reserva Limitada 2013;Guatemala;Aged;8;14;87,5
170;Zacapa Reserva Limitada 2014;Guatemala;Aged;7,9;35;NA
357;Zacapa Reserva Limitada 2015;Guatemala;Aged;8,3;14;152,13
213;Zacapa Straight from the Cask Special Edition;Guatemala;Aged;9,3;26;NA
11;Zacapa XO;Guatemala;Aged;8,8;267;88,64
86;Zafra Master Reserve 21;Panama;Aged;8,5;84;56,01
8;Zaya Gran Reserva;Trinidad;Aged;7,7;281;53,94
